1964,13292629,2414834
Alabama,AL,10,689817
Alaska,AK,3,67259
Arizona,AZ,5,480770
Arkansas,AR,6,560426
California,CA,40,7057586
Colorado,CO,6,776986
Connecticut,CT,8,1218578
Delaware,DE,3,201320
District of Columbia,DC,3,198597
Florida,FL,14,1854481
Georgia,GA,12,1139336
Hawaii,HI,4,207271
Idaho,ID,4,292477
Illinois,IL,26,4702841
Indiana,IN,13,2091606
Iowa,IA,9,1184539
Kansas,KS,7,857901
Kentucky,KY,9,1046105
Louisiana,LA,10,896293
Maine,ME,4,380965
Maryland,MD,10,1116457
Massachusetts,MA,14,2344798
Michigan,MI,21,3203102
Minnesota,MN,10,1554462
Mississippi,MS,7,409146
Missouri,MO,12,1817879
Montana,MT,4,278628
Nebraska,NE,5,584154
Nevada,NV,3,135433
New Hampshire,NH,4,286094
New Jersey,NJ,17,2846770
New Mexico,NM,4,327615
New York,NY,43,7166015
North Carolina,NC,13,1424983
North Dakota,ND,4,258389
Ohio,OH,26,3969196
Oklahoma,OK,8,932499
Oregon,OR,6,786305
Pennsylvania,PA,29,4822690
Rhode Island,RI,4,390091
South Carolina,SC,8,524756
South Dakota,SD,4,293118
Tennessee,TN,11,1143946
Texas,TX,25,2626811
Utah,UT,4,400310
Vermont,VT,3,163089
Virginia,VA,12,1042267
Washington,WA,9,1258556
West Virginia,WV,7,792040
Wisconsin,WI,12,1691815
Wyoming,WY,3,142716
