2000,23311750,6178622
Alabama,AL,9,1666272
Alaska,AK,3,284492
Arizona,AZ,8,1532016
Arkansas,AR,6,921781
California,CA,54,10965856
Colorado,CO,8,1741368
Connecticut,CT,8,1460177
Delaware,DE,3,327529
District of Columbia,DC,3,201894
Florida,FL,25,5963070
Georgia,GA,13,2583208
Hawaii,HI,4,367951
Idaho,ID,4,501615
Illinois,IL,22,4739935
Indiana,IN,12,2199302
Iowa,IA,7,1314395
Kansas,KS,6,1072216
Kentucky,KY,8,1547106
Louisiana,LA,9,1765656
Maine,ME,4,651790
Maryland,MD,10,2021987
Massachusetts,MA,12,2698994
Michigan,MI,18,4232501
Minnesota,MN,10,2438685
Mississippi,MS,7,994184
Missouri,MO,11,2359892
Montana,MT,3,410986
Nebraska,NE,5,697132
Nevada,NV,4,605655
New Hampshire,NH,4,567795
New Jersey,NJ,15,3187226
New Mexico,NM,5,598605
New York,NY,33,6821999
North Carolina,NC,14,2914990
North Dakota,ND,3,288256
Ohio,OH,21,4701998
Oklahoma,OK,8,1234229
Oregon,OR,7,1530549
Pennsylvania,PA,23,4912185
Rhode Island,RI,4,409112
South Carolina,SC,8,1383902
South Dakota,SD,3,316269
Tennessee,TN,11,2075753
Texas,TX,32,6407637
Utah,UT,5,766697
Vermont,VT,3,293794
Virginia,VA,13,2736640
Washington,WA,11,2487433
West Virginia,WV,5,648251
Wisconsin,WI,11,2598607
Wyoming,WY,3,213726
