1880,1775365,342279
Alabama,AL,10,151902
Arkansas,AR,6,107772
California,CA,6,164218
Colorado,CO,3,53546
Connecticut,CT,6,132798
Delaware,DE,3,29458
Florida,FL,4,51618
Georgia,GA,11,157451
Illinois,IL,21,622305
Indiana,IN,15,470672
Iowa,IA,11,322668
Kansas,KS,5,201236
Kentucky,KY,12,267104
Louisiana,LA,8,104462
Maine,ME,7,143903
Maryland,MD,8,172221
Massachusetts,MA,13,282265
Michigan,MI,11,353079
Minnesota,MN,5,150770
Mississippi,MS,8,117068
Missouri,MO,15,397289
Nebraska,NE,3,87452
Nevada,NV,3,18345
New Hampshire,NH,5,86361
New Jersey,NJ,9,245928
New York,NY,35,1103945
North Carolina,NC,10,240946
Ohio,OH,22,724967
Oregon,OR,3,40823
Pennsylvania,PA,29,874783
Rhode Island,RI,4,29235
South Carolina,SC,7,169793
Tennessee,TN,12,243263
Texas,TX,8,241726
Vermont,VT,5,64594
Virginia,VA,11,211616
West Virginia,WV,5,112641
Wisconsin,WI,10,267187
