1984,19978489,4750462
Alabama,AL,9,1441713
Alaska,AK,3,207605
Arizona,AZ,7,1025897
Arkansas,AR,6,884406
California,CA,47,9505423
Colorado,CO,8,1295381
Connecticut,CT,8,1466900
Delaware,DE,3,254572
District of Columbia,DC,3,211288
Florida,FL,21,4180051
Georgia,GA,12,1776093
Hawaii,HI,4,335846
Idaho,ID,4,411144
Illinois,IL,24,4819088
Indiana,IN,12,2233069
Iowa,IA,8,1319805
Kansas,KS,7,1021991
Kentucky,KY,9,1370461
Louisiana,LA,10,1706822
Maine,ME,4,553144
Maryland,MD,10,1675873
Massachusetts,MA,13,2559453
Michigan,MI,20,3801658
Minnesota,MN,10,2084449
Mississippi,MS,7,940192
Missouri,MO,11,2122771
Montana,MT,4,384377
Nebraska,NE,5,652090
Nevada,NV,4,286667
New Hampshire,NH,4,388954
New Jersey,NJ,16,3217862
New Mexico,NM,5,514370
New York,NY,36,6806810
North Carolina,NC,13,2175361
North Dakota,ND,3,308971
Ohio,OH,23,4547619
Oklahoma,OK,8,1255676
Oregon,OR,7,1226527
Pennsylvania,PA,25,4844903
Rhode Island,RI,4,410492
South Carolina,SC,8,968540
South Dakota,SD,3,317867
Tennessee,TN,11,1711993
Texas,TX,29,5397571
Utah,UT,5,629656
Vermont,VT,3,234561
Virginia,VA,12,2146635
Washington,WA,10,1883910
West Virginia,WV,6,735742
Wisconsin,WI,11,2212016
Wyoming,WY,3,188968
