1848,562915,137582
Alabama,AL,9,61655
Arkansas,AR,3,16888
Connecticut,CT,6,62398
Delaware,DE,3,12423
Florida,FL,3,7203
Georgia,GA,10,92317
Illinois,IL,9,124596
Indiana,IN,12,152752
Iowa,IA,4,22271
Kentucky,KY,12,116865
Louisiana,LA,6,33866
Maine,ME,9,87625
Maryland,MD,8,72359
Massachusetts,MA,12,134748
Michigan,MI,5,65082
Mississippi,MS,6,52456
Missouri,MO,7,72748
New Hampshire,NH,6,50104
New Jersey,NJ,7,77735
New York,NY,36,453399
North Carolina,NC,11,79826
Ohio,OH,23,328479
Pennsylvania,PA,26,368552
Rhode Island,RI,4,11155
South Carolina,SC,9,92057
Tennessee,TN,13,122463
Texas,TX,4,15177
Vermont,VT,6,47922
Virginia,VA,17,92004
Wisconsin,WI,4,39166
