1980,18468040,4246455
Alabama,AL,9,1341929
Alaska,AK,3,158445
Arizona,AZ,6,873945
Arkansas,AR,6,837582
California,CA,45,8587063
Colorado,CO,7,1184415
Connecticut,CT,8,1406285
Delaware,DE,3,235668
District of Columbia,DC,3,173889
Florida,FL,17,3687026
Georgia,GA,12,1597467
Hawaii,HI,4,303287
Idaho,ID,4,437431
Illinois,IL,26,4749721
Indiana,IN,13,2242033
Iowa,IA,8,1317661
Kansas,KS,7,979795
Kentucky,KY,9,1294627
Louisiana,LA,10,1548591
Maine,ME,4,523011
Maryland,MD,10,1540496
Massachusetts,MA,14,2524298
Michigan,MI,21,3909725
Minnesota,MN,10,2051953
Mississippi,MS,7,892620
Missouri,MO,12,2099824
Montana,MT,4,363952
Nebraska,NE,5,640854
Nevada,NV,3,247885
New Hampshire,NH,4,383999
New Jersey,NJ,17,2975684
New Mexico,NM,4,456237
New York,NY,41,6201959
North Carolina,NC,13,1855833
North Dakota,ND,3,301545
Ohio,OH,25,4283603
Oklahoma,OK,8,1149708
Oregon,OR,6,1181516
Pennsylvania,PA,27,4561501
Rhode Island,RI,4,416072
South Carolina,SC,8,890083
South Dakota,SD,4,327703
Tennessee,TN,10,1617616
Texas,TX,26,4541637
Utah,UT,4,604222
Vermont,VT,3,213207
Virginia,VA,12,1866032
Washington,WA,9,1742394
West Virginia,WV,6,737715
Wisconsin,WI,11,2273221
Wyoming,WY,3,176713
