1936,7384350,637415
Alabama,AL,11,275244
Arizona,AZ,3,124163
Arkansas,AR,9,179423
California,CA,22,2638882
Colorado,CO,6,488684
Connecticut,CT,8,690723
Delaware,DE,3,127603
Florida,FL,7,327365
Georgia,GA,12,293175
Idaho,ID,4,199617
Illinois,IL,29,3956522
Indiana,IN,14,1650897
Iowa,IA,11,1142733
Kansas,KS,9,865014
Kentucky,KY,11,926203
Louisiana,LA,10,329778
Maine,ME,5,304240
Maryland,MD,8,624896
Massachusetts,MA,17,1840357
Michigan,MI,19,1805098
Minnesota,MN,11,1129975
Mississippi,MS,9,162090
Missouri,MO,15,1828635
Montana,MT,4,230512
Nebraska,NE,7,608023
Nevada,NV,3,43848
New Hampshire,NH,4,218114
New Jersey,NJ,16,1820437
New Mexico,NM,3,169176
New York,NY,47,5596398
North Carolina,NC,13,839464
North Dakota,ND,4,273716
Ohio,OH,26,3012589
Oklahoma,OK,11,749740
Oregon,OR,5,414021
Pennsylvania,PA,36,4138426
Rhode Island,RI,4,311178
South Carolina,SC,8,115437
South Dakota,SD,4,296472
Tennessee,TN,11,476538
Texas,TX,23,843482
Utah,UT,4,216677
Vermont,VT,3,143689
Virginia,VA,11,334590
Washington,WA,8,692338
West Virginia,WV,8,829945
Wisconsin,WI,12,1258560
Wyoming,WY,3,103382
