2004,26753968,7102276
Alabama,AL,9,1890317
Alaska,AK,3,314502
Arizona,AZ,10,2038069
Arkansas,AR,6,1070573
California,CA,55,12589367
Colorado,CO,9,2148036
Connecticut,CT,7,1607808
Delaware,DE,3,377407
District of Columbia,DC,3,230105
Florida,FL,27,7640319
Georgia,GA,15,3317336
Hawaii,HI,4,431662
Idaho,ID,4,612786
Illinois,IL,21,5350493
Indiana,IN,11,2512142
Iowa,IA,7,1521966
Kansas,KS,6,1213108
Kentucky,KY,8,1816867
Louisiana,LA,9,1956590
Maine,ME,4,751519
Maryland,MD,10,2395791
Massachusetts,MA,12,2927455
Michigan,MI,17,4875692
Minnesota,MN,10,2842912
Mississippi,MS,6,1152365
Missouri,MO,11,2764635
Montana,MT,3,456096
Nebraska,NE,5,792906
Nevada,NV,5,831563
New Hampshire,NH,4,683672
New Jersey,NJ,15,3638153
New Mexico,NM,5,775301
New York,NY,31,7448266
North Carolina,NC,15,3552449
North Dakota,ND,3,316049
Ohio,OH,20,5722443
Oklahoma,OK,7,1463758
Oregon,OR,7,1851671
Pennsylvania,PA,21,5769590
Rhode Island,RI,4,440228
South Carolina,SC,8,1626720
South Dakota,SD,3,394930
Tennessee,TN,11,2456610
Texas,TX,34,7410765
Utah,UT,5,942010
Vermont,VT,3,314220
Virginia,VA,13,3223156
Washington,WA,11,2883499
West Virginia,WV,5,769645
Wisconsin,WI,10,3016288
Wyoming,WY,3,245789
