1912,2502838,207688
Alabama,AL,12,117959
Arizona,AZ,3,23722
Arkansas,AR,9,125104
California,CA,13,677944
Colorado,CO,6,266880
Connecticut,CT,7,190404
Delaware,DE,3,48694
Florida,FL,6,50837
Georgia,GA,14,121470
Idaho,ID,4,105754
Illinois,IL,29,1146173
Indiana,IN,15,654474
Iowa,IA,13,492356
Kansas,KS,10,365560
Kentucky,KY,13,452714
Louisiana,LA,10,79248
Maine,ME,6,129640
Maryland,MD,8,231981
Massachusetts,MA,18,488057
Michigan,MI,15,550976
Minnesota,MN,12,334219
Mississippi,MS,10,64483
Missouri,MO,18,698566
Montana,MT,4,79826
Nebraska,NE,8,249483
Nevada,NV,3,20115
New Hampshire,NH,4,87961
New Jersey,NJ,14,432739
New Mexico,NM,3,49376
New York,NY,45,1588315
North Carolina,NC,12,243776
North Dakota,ND,5,86580
Ohio,OH,24,1037094
Oklahoma,OK,10,253801
Oregon,OR,5,137040
Pennsylvania,PA,38,1217736
Rhode Island,RI,5,77894
South Carolina,SC,9,50405
South Dakota,SD,5,116325
Tennessee,TN,12,251933
Texas,TX,20,305120
Utah,UT,4,112386
Vermont,VT,4,62841
Virginia,VA,12,136975
Washington,WA,7,322799
West Virginia,WV,8,268828
Wisconsin,WI,13,399975
Wyoming,WY,3,42296
