2008,28548974,7571583
Alabama,AL,9,2099819
Alaska,AK,3,326197
Arizona,AZ,10,2293475
Arkansas,AR,6,1086617
California,CA,55,13464495
Colorado,CO,9,2401361
Connecticut,CT,7,1646783
Delaware,DE,3,412412
District of Columbia,DC,3,265853
Florida,FL,27,8390744
Georgia,GA,15,3921693
Hawaii,HI,4,453568
Idaho,ID,4,655032
Illinois,IL,21,5513635
Indiana,IN,11,2751054
Iowa,IA,7,1530386
Kansas,KS,6,1235801
Kentucky,KY,8,1826620
Louisiana,LA,9,1960761
Maine,ME,4,731163
Maryland,MD,10,2622549
Massachusetts,MA,12,3080985
Michigan,MI,17,5001766
Minnesota,MN,10,2900873
Mississippi,MS,6,1289865
Missouri,MO,11,2925205
Montana,MT,3,490109
Nebraska,NE,5,798444
Nevada,NV,5,961581
New Hampshire,NH,4,707611
New Jersey,NJ,15,3868237
New Mexico,NM,5,830158
New York,NY,31,7590551
North Carolina,NC,15,4296847
North Dakota,ND,3,316621
Ohio,OH,20,5697927
Oklahoma,OK,7,1462661
Oregon,OR,7,1814251
Pennsylvania,PA,21,5992384
Rhode Island,RI,4,471766
South Carolina,SC,8,1920969
South Dakota,SD,3,381975
Tennessee,TN,11,2599749
Texas,TX,34,8077795
Utah,UT,5,942678
Vermont,VT,3,325046
Virginia,VA,13,3716905
Washington,WA,11,3036878
West Virginia,WV,5,713451
Wisconsin,WI,10,2976356
Wyoming,WY,3,253137
