1916,2937959,271127
Alabama,AL,12,130728
Arizona,AZ,3,58021
Arkansas,AR,9,170104
California,CA,13,999603
Colorado,CO,6,294375
Connecticut,CT,7,213874
Delaware,DE,3,51810
Florida,FL,6,80734
Georgia,GA,14,160681
Idaho,ID,4,134615
Illinois,IL,29,2192707
Indiana,IN,15,718848
Iowa,IA,13,513942
Kansas,KS,10,629813
Kentucky,KY,13,520078
Louisiana,LA,10,92982
Maine,ME,6,136314
Maryland,MD,8,262039
Massachusetts,MA,18,531823
Michigan,MI,15,650973
Minnesota,MN,12,387364
Mississippi,MS,10,86679
Missouri,MO,18,786769
Montana,MT,4,177679
Nebraska,NE,8,287315
Nevada,NV,3,33316
New Hampshire,NH,4,89127
New Jersey,NJ,14,494442
New Mexico,NM,3,66787
New York,NY,45,1706305
North Carolina,NC,12,289837
North Dakota,ND,5,115390
Ohio,OH,24,1165086
Oklahoma,OK,10,292753
Oregon,OR,5,261650
Pennsylvania,PA,38,1297189
Rhode Island,RI,5,87816
South Carolina,SC,9,63952
South Dakota,SD,5,128942
Tennessee,TN,12,272190
Texas,TX,20,372467
Utah,UT,4,143146
Vermont,VT,4,64475
Virginia,VA,12,152025
Washington,WA,7,380994
West Virginia,WV,8,289852
Wisconsin,WI,13,447134
Wyoming,WY,3,51840
