1920,4338229,352578
Alabama,AL,12,237638
Arizona,AZ,3,66562
Arkansas,AR,9,183637
California,CA,13,944050
Colorado,CO,6,292053
Connecticut,CT,7,365518
Delaware,DE,3,94875
Florida,FL,6,145681
Georgia,GA,14,148251
Idaho,ID,4,135624
Illinois,IL,29,2094714
Indiana,IN,15,1262964
Iowa,IA,13,895082
Kansas,KS,10,570318
Kentucky,KY,13,918708
Louisiana,LA,10,126396
Maine,ME,6,197840
Maryland,MD,8,428443
Massachusetts,MA,18,993718
Michigan,MI,15,1048411
Minnesota,MN,12,735838
Mississippi,MS,10,82492
Missouri,MO,18,1332800
Montana,MT,4,179006
Nebraska,NE,8,382743
Nevada,NV,3,27194
New Hampshire,NH,4,159092
New Jersey,NJ,14,903943
New Mexico,NM,3,105406
New York,NY,45,2898513
North Carolina,NC,12,538741
North Dakota,ND,5,205776
Ohio,OH,24,2021653
Oklahoma,OK,10,486610
Oregon,OR,5,238522
Pennsylvania,PA,38,1852616
Rhode Island,RI,5,167981
South Carolina,SC,9,66808
South Dakota,SD,5,182237
Tennessee,TN,12,428626
Texas,TX,20,486641
Utah,UT,4,145828
Vermont,VT,4,89961
Virginia,VA,12,231033
Washington,WA,7,398715
West Virginia,WV,8,509942
Wisconsin,WI,13,701280
Wyoming,WY,3,54700
