1840,465746,131808
Alabama,AL,7,62511
Arkansas,AK,3,11839
Connecticut,CT,8,56879
Delaware,DE,3,10852
Georgia,GA,11,72322
Illinois,IL,5,93175
Indiana,IN,9,116906
Kentucky,KY,15,116865
Louisiana,LA,5,18912
Maine,ME,10,92802
Maryland,MD,10,62280
Massachusetts,MA,14,126825
Michigan,MI,3,44350
Mississippi,MS,4,36525
Missouri,MO,4,52923
New Hampshire,NH,7,59956
New Jersey,NJ,8,64454
New York,NY,42,441543
North Carolina,NC,15,80735
Ohio,OH,21,273842
Pennsylvania,PA,30,288026
Rhode Island,RI,4,8621
South Carolina,SC,11,89596
Tennessee,TN,15,108145
Vermont,VT,7,50773
Virginia,VA,23,86394
