1864,749527,253854
California,CA,5,105890
Connecticut,CT,6,86958
Delaware,DE,3,16922
Illinois,IL,16,348236
Indiana,IN,13,280117
Iowa,IA,8,132947
Kansas,KS,3,21580
Kentucky,KY,11,92088
Maine,ME,7,114797
Maryland,MD,7,72892
Massachusetts,ME,12,175487
Michigan,MI,8,165279
Minnesota,MN,4,42407
Missouri,MO,11,104346
Nevada,NV,2,16420
New Hampshire,NH,5,69630
New Jersey,NJ,7,128744
New York,NY,33,730721
Ohio,OH,21,471283
Oregon,OR,3,18345
Pennsylvania,PA,26,573735
Rhode Island,RI,4,23067
Vermont,VT,5,55750
West Virginia,WV,5,34877
Wisconsin,WI,8,149342
