1904,2177660,314945
Alabama,AL,11,108785
Arkansas,AR,9,116421
California,CA,10,331878
Colorado,CO,5,243667
Connecticut,CT,7,191128
Delaware,DE,3,43856
Florida,FL,5,38705
Georgia,GA,13,130986
Idaho,ID,3,72578
Illinois,IL,27,1076499
Indiana,IN,15,682185
Iowa,IA,13,486093
Kansas,KS,10,328561
Kentucky,KY,13,435946
Louisiana,LA,9,53908
Maine,ME,6,97023
Maryland,MD,8,224229
Massachusetts,MA,16,445109
Michigan,MI,14,525027
Minnesota,MN,11,292860
Mississippi,MS,10,58721
Missouri,MO,18,643861
Montana,MT,3,64444
Nebraska,NE,8,225732
Nevada,NV,3,12115
New Hampshire,NH,4,90161
New Jersey,NJ,12,432547
New York,NY,39,1617770
North Carolina,NC,12,207818
North Dakota,ND,4,70014
Ohio,OH,23,1004393
Oregon,OR,4,90154
Pennsylvania,PA,34,1236738
Rhode Island,RI,4,68656
South Carolina,SC,9,55118
South Dakota,SD,4,101395
Tennessee,TN,12,242750
Texas,TX,18,234008
Utah,UT,3,101672
Vermont,VT,4,51888
Virginia,VA,12,130410
Washington,WA,5,145151
West Virginia,WV,7,239986
Wisconsin,WI,13,443441
Wyoming,WY,3,30708
