1888,2196957,455085
Alabama,AL,10,175085
Arkansas,AR,7,157058
California,CA,8,251339
Colorado,CO,3,91946
Connecticut,CT,6,153978
Delaware,DE,3,29764
Florida,FL,4,66500
Georgia,GA,12,142936
Illinois,IL,22,747813
Indiana,IN,15,536949
Iowa,IA,13,404135
Kansas,KS,9,331149
Kentucky,KY,13,344868
Louisiana,LA,8,115891
Maine,ME,6,128253
Maryland,MD,8,210941
Massachusetts,MA,14,344243
Michigan,MI,13,475356
Minnesota,MN,7,263285
Mississippi,MS,9,115786
Missouri,MO,16,521360
Nebraska,NE,5,202632
Nevada,NV,3,12278
New Hampshire,NH,4,90835
New Jersey,NJ,9,303801
New York,NY,36,1319748
North Carolina,NC,11,285563
Ohio,OH,23,840361
Oregon,OR,3,61853
Pennsylvania,PA,30,997568
Rhode Island,RI,4,40775
South Carolina,SC,9,79997
Tennessee,TN,12,303694
Texas,TX,13,357513
Vermont,VT,4,65452
Virginia,VA,12,304087
West Virginia,WV,6,159440
Wisconsin,WI,11,354614
