1956,10826129,1712516
Alabama,AL,11,496698
Arizona,AZ,4,290173
Arkansas,AR,8,406572
California,CA,32,5466355
Colorado,CO,6,663074
Connecticut,CT,8,1117121
Delaware,DE,3,177988
Florida,FL,10,1124220
Georgia,GA,12,663480
Idaho,ID,4,272989
Illinois,IL,27,4407407
Indiana,IN,13,1974607
Iowa,IA,10,1234564
Kansas,KS,8,866243
Kentucky,KY,10,1053805
Louisiana,LA,10,617544
Maine,ME,5,351706
Maryland,MD,9,932351
Massachusetts,MA,16,2348506
Michigan,MI,20,3080468
Minnesota,MN,11,1340005
Mississippi,MS,8,248149
Missouri,MO,13,1832562
Montana,MT,4,271171
Nebraska,NE,6,577137
Nevada,NV,3,96689
New Hampshire,NH,4,266994
New Jersey,NJ,16,2484312
New Mexico,NM,4,253926
New York,NY,45,7092860
North Carolina,NC,14,1165592
North Dakota,ND,4,253991
Ohio,OH,25,3702265
Oklahoma,OK,8,859350
Oregon,OR,6,735597
Pennsylvania,PA,32,4576503
Rhode Island,RI,4,387609
South Carolina,SC,8,300583
South Dakota,SD,4,293857
Tennessee,TN,11,939404
Texas,TX,24,1955545
Utah,UT,4,333995
Vermont,VT,3,152978
Virginia,VA,12,697978
Washington,WA,9,1150889
West Virginia,WV,8,830831
Wisconsin,WI,12,1550558
Wyoming,WY,3,124127
