1896,2507628,374442
Alabama,AL,11,194580
Arkansas,AR,8,149347
California,CA,9,298419
Colorado,CO,4,189539
Connecticut,CT,6,174390
Delaware,DE,3,38456
Florida,FL,4,46488
Georgia,GA,13,162480
Idaho,ID,3,29621
Illinois,IL,24,1090869
Indiana,IN,15,637119
Iowa,IA,13,521547
Kansas,KS,10,334547
Kentucky,KY,13,445928
Louisiana,LA,8,101046
Maine,ME,6,118419
Maryland,MD,8,250249
Massachusetts,MA,15,401568
Michigan,MI,14,545585
Minnesota,MN,9,341762
Mississippi,MS,9,69591
Missouri,MO,17,673906
Montana,MT,3,53330
Nebraska,NE,8,223182
Nevada,NV,3,10314
New Hampshire,NH,4,83670
New Jersey,NJ,10,371211
New York,NY,36,1423876
North Carolina,NC,11,331337
North Dakota,ND,3,47391
Ohio,OH,23,1014295
Oregon,OR,4,97414
Pennsylvania,PA,32,1194355
Rhode Island,RI,4,54785
South Carolina,SC,9,68938
South Dakota,SD,4,82950
Tennessee,TN,12,320903
Texas,TX,15,544786
Utah,UT,3,78119
Vermont,VT,4,63847
Virginia,VA,12,294674
Washington,WA,4,93583
West Virginia,WV,6,201757
Wisconsin,WI,12,447409
Wyoming,WY,3,21092
