1836,277824,71669
Alabama,AL,7,37296
Arkansas,AK,3,3714
Connecticut,CT,8,38093
Delaware,DE,3,8895
Georgia,GA,11,47259
Illinois,IL,5,33589
Indiana,IN,9,73759
Kentucky,KY,15,70090
Louisiana,LA,5,7425
Maine,ME,10,38740
Maryland,MD,10,48119
Massachusetts,MA,14,74687
Michigan,MI,3,12667
Mississippi,MS,4,20079
Missouri,MO,4,18332
New Hampshire,NH,7,24925
New Jersey,NJ,8,51729
New York,NY,42,305343
North Carolina,NC,15,50153
Ohio,OH,21,202333
Pennsylvania,PA,30,178692
South Carolina,SC,11,58411
Rhode Island,RI,4,5674
Tennessee,TN,15,62197
Vermont,VT,7,35031
Virginia,VA,23,53940
