1872,1315998,340694
Alabama,AL,10,169716
Arkansas,AR,6,79300
California,CA,6,95785
Connecticut,CT,6,96009
Delaware,DE,3,21822
Florida,FL,4,33190
Georgia,GA,11,138906
Illinois,IL,21,429971
Indiana,IN,15,351196
Iowa,IA,11,216365
Kansas,KS,5,100512
Kentucky,KY,12,191135
Louisiana,LA,8,128692
Maine,ME,7,90523
Maryland,MD,8,134447
Massachusetts,MA,13,192864
Michigan,MI,11,221455
Minnesota,MN,5,90919
Mississippi,MS,8,129457
Missouri,MO,15,273059
Nebraska,NE,3,25932
Nevada,NV,3,14649
New Hampshire,NH,5,68906
New Jersey,NJ,9,168112
New York,NY,35,828020
North Carolina,NC,10,165163
Ohio,OH,22,529436
Oregon,OR,3,20147
Pennsylvania,PA,29,563262
Rhode Island,RI,4,18994
South Carolina,SC,7,95452
Tennessee,TN,12,179046
Texas,TX,8,116594
Vermont,VT,5,52980
Virginia,VA,11,185195
West Virginia,WV,5,62467
Wisconsin,WI,10,192305
