1992,22909469,5856638
Alabama,AL,9,1688060
Alaska,AK,3,258506
Arizona,AZ,8,1487006
Arkansas,AR,6,950653
California,CA,54,11131721
Colorado,CO,8,1569180
Connecticut,CT,8,1616332
Delaware,DE,3,289620
District of Columbia,DC,3,227572
Florida,FL,25,5314392
Georgia,GA,13,2321133
Hawaii,HI,4,372842
Idaho,ID,4,482114
Illinois,IL,22,5050157
Indiana,IN,12,2305871
Iowa,IA,7,1354607
Kansas,KS,6,1157256
Kentucky,KY,8,1492900
Louisiana,LA,9,1790017
Maine,ME,4,679499
Maryland,MD,10,1985046
Massachusetts,MA,12,2773574
Michigan,MI,18,4274673
Minnesota,MN,10,2347948
Mississippi,MS,7,981793
Missouri,MO,11,2391270
Montana,MT,3,410583
Nebraska,NE,5,739283
Nevada,NV,4,506318
New Hampshire,NH,4,537215
New Jersey,NJ,15,3343594
New Mexico,NM,5,569986
New York,NY,33,6926925
North Carolina,NC,14,2611850
North Dakota,ND,3,308133
Ohio,OH,21,4939964
Oklahoma,OK,8,1390359
Oregon,OR,7,1462643
Pennsylvania,PA,23,4959810
Rhode Island,RI,4,453477
South Carolina,SC,8,1202527
South Dakota,SD,3,336254
Tennessee,TN,11,1982638
Texas,TX,32,6154018
Utah,UT,5,743998
Vermont,VT,3,289701
Virginia,VA,13,2558665
Washington,WA,11,2287565
West Virginia,WV,5,683677
Wisconsin,WI,11,2531114
Wyoming,WY,3,199884
