1944,7490096,765701
Alabama,AL,11,244743
Arizona,AZ,4,137634
Arkansas,AR,9,212954
California,CA,25,3520875
Colorado,CO,6,505039
Connecticut,CT,8,831990
Delaware,DE,3,125361
Florida,FL,8,482592
Georgia,GA,12,328109
Idaho,ID,4,208321
Illinois,IL,28,4036061
Indiana,IN,13,1672091
Iowa,IA,10,1052599
Kansas,KS,8,733776
Kentucky,KY,11,867921
Louisiana,LA,10,349383
Maine,ME,5,296400
Maryland,MD,8,608439
Massachusetts,MA,16,1960665
Michigan,MI,19,2205223
Minnesota,MN,11,1125529
Mississippi,MS,9,180080
Missouri,MO,15,1572474
Montana,MT,4,207355
Nebraska,NE,6,563126
Nevada,NV,3,54234
New Hampshire,NH,4,229625
New Jersey,NJ,16,1963761
New Mexico,NM,4,152225
New York,NY,47,6316790
North Carolina,NC,14,790554
North Dakota,ND,4,220171
Ohio,OH,25,3153056
Oklahoma,OK,10,722636
Oregon,OR,6,480147
Pennsylvania,PA,35,3794793
Rhode Island,RI,4,299276
South Carolina,SC,8,103375
South Dakota,SD,4,232076
Tennessee,TN,12,510692
Texas,TX,23,1150331
Utah,UT,4,248319
Vermont,VT,3,125361
Virginia,VA,11,388485
Washington,WA,8,856328
West Virginia,WV,8,715596
Wisconsin,WI,12,1339152
Wyoming,WY,3,101340
