1852,576363,95447
Alabama,AL,9,44147
Arkansas,AR,4,19577
California,CA,4,76810
Connecticut,CT,6,66781
Delaware,DE,3,12673
Florida,FL,3,7193
Georgia,GA,10,40516
Illinois,IL,11,154974
Indiana,IN,13,183170
Iowa,IA,4,35364
Kentucky,KY,12,111148
Louisiana,LA,6,42873
Maine,ME,8,82182
Maryland,MD,8,75120
Massachusetts,MA,13,127103
Michigan,MI,6,82939
Mississippi,MS,7,44454
Missouri,MO,9,68801
New Hampshire,NH,5,50535
New Jersey,NJ,7,83220
New York,NY,35,522294
North Carolina,NC,10,78881
Ohio,OH,23,353188
Pennsylvania,PA,27,387389
Rhode Island,RI,4,17005
South Carolina,SC,8,87321
Tennessee,TN,12,115486
Texas,TX,4,18547
Vermont,VT,5,43890
Virginia,VA,15,132604
Wisconsin,WI,5,64682
